entropy_p,entropy_i,NCE_t,issuer,users,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
-3.70E-06,-0.000610946,-0.002237857,43,333,921,264,454,5,99,699,-0.736938749,-10,0,0,-14
-1.30E-06,9.78E-05,-0.004330819,18,27,256,85,114,4,65,143,-0.523226512,0,0,0,1
1.30E-06,0.000668293,-0.000744322,-8,-118,-566,-176,-238,-9,-17,-515,-1.949716066,0,0,0,1
1.00E-07,-0.000102504,-0.002184125,-5,-24,0,-2,82,0,20,-31,0,0,0,0,-2
-1.30E-06,-0.000237218,-0.00089439,38,229,531,9,238,6,86,364,0,0,0,0,3
-6.00E-07,-5.83E-06,-0.002368606,52,238,829,63,988,7,325,699,0,0,0,0,-18
-1.00E-07,8.72E-05,0.000197225,17,16,838,68,351,6,59,267,0,0,0,0,26
-6.00E-07,9.97E-05,0.000385274,7,74,475,44,186,6,84,279,0,0,0,0,-13
-6.00E-07,0.000210616,-0.001723946,18,91,507,-12,7,1,60,175,0,0,0,0,6
5.00E-07,-8.17E-05,0.001575201,0,-11,-3,-12,30,-1,-22,47,0,0,0,0,-13
0,1.41E-05,0.000870685,1,12,135,-2,52,2,-28,68,0,0,0,0,22
-7.00E-07,0.000697593,0.001018676,18,200,322,0,319,12,113,338,0,0,0,0,-20
5.00E-07,0.000873654,-0.000541793,-17,-41,262,36,188,-10,137,478,0,0,0,0,4
3.00E-07,0.000474712,0.000402005,3,24,555,-9,211,-6,213,411,0,0,0,0,10
4.00E-07,0.000170684,-0.002037597,-5,-24,44,8,246,7,132,377,0,0,0,0,-1
5.00E-07,0.000534787,-0.00132097,-2,26,195,24,373,-7,142,235,0,0,0,0,-10
-2.00E-07,7.57E-05,0.000112695,4,33,30,11,56,1,-48,33,0,0,0,0,4
0,1.70E-05,-0.000316213,3,1,0,13,137,0,-19,146,0,0,0,0,-2
-2.00E-07,9.26E-05,-0.000550039,6,120,-111,1,215,-7,88,60,0,0,0,0,23
-6.00E-07,-0.000132066,0.00085365,4,184,-411,73,-577,-8,-178,-489,0,0,0,0,2
