entropy_p,entropy_i,NCE_t,issuer,users,tasks,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
0.000140374,0.055745086,0.27201105,590,6768,25627,4875,828,995,227,289,1739,0,0,0,0,0,139
0.000138223,0.055742558,0.27001186,586,6828,25997,4957,848,1020,225,303,1783,0,0,0,0,0,160
0.000137047,0.056102245,0.272874857,598,6923,26541,5114,866,1101,210,336,1836,0,0,0,0,0,179
0.000133385,0.056241025,0.275679969,599,7034,26847,5082,875,1129,207,331,1843,0,0,0,0,0,189
0.00013121,0.055628305,0.275856595,601,7104,27055,5070,872,1140,200,348,1837,0,0,0,0,0,217
0.000124408,0.055702246,0.277822174,615,7298,27849,5124,942,1200,200,345,1824,0,0,0,0,0,212
0.000118677,0.056236526,0.277824403,636,7522,28657,5081,979,1273,202,360,1916,0,0,0,0,0,223
0.000115893,0.056708939,0.276968297,653,7682,29241,5107,1013,1281,197,384,2025,0,0,0,0,0,276
0.000114038,0.05672149,0.276906188,666,7709,29900,5128,1052,1232,191,404,2151,0,0,0,0,0,166
0.000109548,0.056669049,0.27873504,689,7806,30546,5027,1119,1228,183,450,2319,10,0,0,0,0,179
0.000107377,0.056926071,0.280848727,694,7909,31271,4996,1145,1212,182,462,2367,0,0,0,0,0,158
0.000106726,0.057305924,0.280471288,695,7933,31447,5079,1152,1214,182,467,2386,0,0.668713227,0,0,0,114
0.00010737,0.05719735,0.278956949,692,7869,31243,5045,1130,1214,175,447,2348,0,3.568713227,0,0,1,109
0.000106479,0.05746882,0.277483834,692,7928,31282,5049,1113,1216,172,443,2409,0,5.627713227,0,0,0,122
0.000105903,0.057874323,0.277213736,698,7999,31111,5006,1103,1245,160,460,2408,0,7.089603227,0,0,0,133
0.000105274,0.058061577,0.275380195,694,8039,31215,4967,1110,1261,154,473,2458,0,8.127545127,0,0,0,120
0.000105893,0.058081711,0.274585036,681,7947,31088,4929,1099,1205,165,470,2478,0,8.864483876,0,0,0,92
0.000106708,0.057865785,0.273586121,681,7937,30796,4913,1078,1179,163,468,2493,0,9.387710388,0,0,0,121
0.000107305,0.057705651,0.272293452,677,7919,30675,4893,1079,1171,166,456,2497,0,10.66871323,0,0,0,113
0.000110828,0.05774045,0.268289429,674,7694,30382,4842,1079,1168,166,455,2539,0,7.768713227,0,0,2,61
0.000114697,0.057352834,0.266242049,660,7538,29803,4883,1036,1110,158,456,2482,0,5.709713227,0,0,0,82
0.000117481,0.057130454,0.267116832,651,7419,29352,4826,999,1097,157,453,2405,0,4.247823227,0,0,0,99
0.000120214,0.057267773,0.265831669,635,7370,28928,4885,955,1127,154,442,2323,0,3.209881327,0,0,0,70
0.000123136,0.057121332,0.26301955,611,7339,28667,4908,903,1195,153,412,2200,0,2.472942578,0,0,0,66
0.000126431,0.057217708,0.262602181,594,7210,27830,4837,873,1182,153,398,2134,0,1.949716066,0,0,0,98
0.000128282,0.057378944,0.264865224,587,7146,27501,4703,867,1195,150,392,2107,0,0,0,0,0,67
0.000127336,0.057321664,0.266230258,599,7206,27565,4706,900,1206,150,404,2141,0,0,0,0,0,54
0.000122925,0.057019134,0.264948003,631,7567,28041,4725,904,1227,149,411,2101,0,0,0,0,0,33
0.000121531,0.056758058,0.267361922,638,7565,28649,4752,939,1244,152,409,2094,0,0,0,0,0,40
0.000121192,0.056394703,0.264920081,654,7617,28752,4818,955,1223,153,398,2062,0,0,0,0,0,50
0.000115053,0.055885664,0.261866689,715,7958,29527,4873,976,1304,147,402,2124,0,0,0,0,0,38
0.000114681,0.055949356,0.267540761,721,7978,29590,4860,998,1321,149,408,2125,0,0,0,0,0,41
0.000114114,0.056068328,0.267333454,722,7992,29709,4865,999,1331,146,414,2144,0,0,0,0,0,23
0.000110858,0.055598203,0.267717803,763,8162,30442,4894,1020,1354,143,445,2162,0,0,0,0,0,34
0.000107909,0.055234199,0.268661572,801,8261,31335,4996,1111,1471,151,466,2270,0,0,0,0,0,32
