,Sliding window,shenzhen,futian,baoan,pingshan,guangming,longhua,luohu,nanshan,yantian,longgang
207,2020/9/12,0.315599114,0.374382689,0.236866788,0.292560685,0.271308653,0.330977454,0.327110895,0.326936897,0.275340408,0.324274569
208,2020/9/13,0.319326627,0.372096301,0.239586861,0.290646102,0.270008681,0.328055836,0.337476711,0.325102473,0.2728505,0.33328489
209,2020/9/14,0.323303347,0.364120341,0.223364464,0.281121413,0.265241309,0.337168884,0.350771327,0.328109725,0.260126769,0.343342975
210,2020/9/15,0.324021882,0.35492612,0.224161387,0.278983932,0.259154827,0.330254072,0.366487893,0.333769641,0.244646888,0.34586876
211,2020/9/16,0.322142602,0.351588597,0.223842102,0.277864976,0.257208745,0.313366071,0.369314817,0.3294796,0.228503728,0.347493963
212,2020/9/17,0.322695465,0.350468863,0.237210502,0.276278166,0.250161603,0.306467404,0.370494741,0.335262325,0.219029885,0.347252302
213,2020/9/18,0.322369517,0.359292104,0.238250622,0.299984004,0.239860333,0.30510537,0.362883181,0.338453608,0.209417676,0.343139468
214,2020/9/19,0.31813918,0.36012217,0.244506047,0.312745926,0.235166484,0.285479353,0.355023887,0.33270597,0.193053215,0.337442416
215,2020/9/20,0.317403315,0.358062604,0.246002684,0.320555134,0.232765929,0.289799742,0.353155098,0.331291415,0.214139899,0.336749727
216,2020/9/21,0.317528713,0.358370862,0.245041599,0.329892602,0.23845679,0.284579455,0.352236057,0.336980736,0.209544053,0.334502192
217,2020/9/22,0.311099318,0.35158096,0.237995615,0.331165392,0.234022277,0.269598483,0.343356543,0.33314506,0.189402557,0.32750406
218,2020/9/23,0.305213452,0.349573323,0.235700858,0.328467219,0.23738347,0.255634296,0.328832545,0.329629311,0.184984605,0.319804202
219,2020/9/24,0.296370636,0.344756593,0.234906437,0.330182655,0.225357302,0.244167018,0.318742195,0.318772219,0.179846292,0.308817262
220,2020/9/25,0.286443231,0.341230539,0.226463642,0.339125715,0.224423407,0.239130697,0.299180324,0.311006048,0.171740647,0.295562395
221,2020/9/26,0.286169905,0.34699282,0.237001895,0.353608521,0.247660599,0.250614594,0.293261208,0.30579668,0.162480719,0.29271262
222,2020/9/27,0.288557656,0.336694951,0.240840393,0.384241268,0.250565948,0.245620077,0.294664574,0.315742458,0.171876432,0.295036212
223,2020/9/28,0.2809749,0.318731865,0.242623859,0.386723573,0.254749298,0.220588024,0.285781868,0.30929846,0.154619247,0.29339853
224,2020/9/29,0.279273889,0.316997673,0.24328095,0.440645551,0.264021952,0.218331469,0.285261658,0.298880402,0.15811286,0.292203553
225,2020/9/30,0.274834164,0.30772986,0.235387619,0.469552202,0.284051596,0.177929271,0.283896045,0.300027534,0.146795593,0.287721186
226,2020/10/1,0.270087948,0.309913931,0.239553661,0.560420318,0.298062446,0.190424582,0.281830094,0.278111433,0.153146602,0.282266426
227,2020/10/2,0.271556947,0.318042819,0.242009461,0.492591418,0.307682084,0.213170045,0.279811931,0.271097416,0.179449477,0.282913926
228,2020/10/3,0.27946517,0.324894949,0.252861314,0.427467975,0.297084578,0.260371737,0.287631141,0.276583552,0.189271081,0.291693063
229,2020/10/4,0.280323365,0.331710985,0.249504246,0.42816503,0.30986363,0.273357684,0.292239341,0.269958054,0.201002327,0.290019964
230,2020/10/5,0.2825261,0.339636036,0.247972537,0.423561402,0.309227136,0.281552409,0.295974641,0.266702635,0.213751695,0.291563668
231,2020/10/6,0.287927832,0.347663016,0.263444415,0.419273625,0.328033376,0.30071436,0.307545782,0.267841706,0.209932145,0.294909347
232,2020/10/7,0.287743511,0.338132755,0.264882178,0.405166547,0.309359406,0.314458495,0.311557015,0.26596605,0.21963642,0.296440099
233,2020/10/8,0.288355863,0.339017677,0.257604292,0.374778383,0.311632168,0.322846532,0.31608461,0.268396986,0.223966791,0.295144392
234,2020/10/9,0.286118006,0.332857172,0.248377368,0.349015064,0.294517744,0.331009201,0.312785765,0.263135069,0.221333668,0.29475879
235,2020/10/10,0.281787187,0.325041116,0.242685597,0.339878896,0.27570482,0.33173766,0.303353804,0.25407731,0.21721044,0.292570259
236,2020/10/11,0.281042865,0.325824225,0.243135493,0.348530552,0.275352999,0.345532873,0.301657048,0.24909409,0.206755843,0.290119031
237,2020/10/12,0.27885874,0.32613419,0.241141338,0.345203006,0.271925637,0.355189889,0.299237215,0.247965776,0.223128453,0.283848169
238,2020/10/13,0.27796435,0.329423375,0.227019301,0.332893634,0.278792628,0.352104039,0.295746814,0.246776673,0.226446567,0.281604712
239,2020/10/14,0.275595744,0.332826071,0.232487534,0.322279033,0.283140281,0.338687664,0.295943246,0.236971835,0.229221694,0.277978362
240,2020/10/15,0.275792969,0.335011122,0.215493731,0.313845619,0.278723468,0.338098996,0.302002923,0.238968628,0.232296602,0.274903095
241,2020/10/16,0.276178243,0.340367694,0.225846625,0.345087882,0.26033788,0.331521795,0.307344705,0.241653689,0.212743863,0.270925202
242,2020/10/17,0.274454297,0.341222539,0.219719695,0.354891899,0.264111384,0.326612529,0.308316268,0.239939314,0.233965751,0.266937152
243,2020/10/18,0.276029498,0.343977452,0.219620343,0.358203707,0.26041156,0.329962982,0.313210334,0.242264315,0.213957037,0.267477014
244,2020/10/19,0.276900183,0.346137554,0.21884841,0.368975042,0.258502134,0.33451011,0.320011961,0.240512263,0.213781625,0.267114544
245,2020/10/20,0.277918859,0.346145615,0.217661058,0.368656682,0.256938421,0.332466454,0.321589249,0.248620779,0.22057131,0.266039421
246,2020/10/21,0.277377066,0.339414011,0.218570791,0.379079649,0.261923636,0.321901691,0.320457001,0.254184621,0.231989598,0.267348875
247,2020/10/22,0.277779071,0.335375888,0.23473895,0.393261318,0.276497359,0.323977975,0.317125138,0.260390949,0.22518017,0.267926706
248,2020/10/23,0.275741474,0.323514462,0.25354759,0.391788206,0.275994903,0.314259136,0.320801868,0.266950087,0.229740555,0.267281035
249,2020/10/24,0.274420504,0.321989416,0.262498177,0.385825886,0.271309463,0.301078192,0.316760597,0.270927813,0.240631359,0.265265469
250,2020/10/25,0.274533199,0.323408148,0.256753597,0.385825886,0.271498668,0.303695981,0.317153907,0.272008284,0.240631359,0.263755515
251,2020/10/26,0.274216986,0.318118998,0.258585889,0.382909419,0.273188386,0.30131335,0.316407875,0.276134268,0.223949476,0.264773315
252,2020/10/27,0.273666947,0.317991363,0.265630014,0.383426211,0.275284098,0.293947819,0.317361791,0.280434675,0.218890281,0.26229757
253,2020/10/28,0.274520597,0.317002452,0.260611638,0.39548357,0.267762663,0.297161571,0.318586132,0.282174025,0.228015879,0.263072642
254,2020/10/29,0.271981925,0.315188284,0.272814153,0.387942576,0.259775156,0.297407441,0.310391769,0.281021975,0.224273801,0.259620024
255,2020/10/30,0.274108093,0.319228605,0.259779169,0.342862372,0.279107541,0.298777734,0.321352887,0.284427454,0.224273801,0.258723179
256,2020/10/31,0.274792817,0.317865317,0.26983706,0.334308286,0.270362002,0.289858786,0.324325374,0.285367552,0.227791261,0.259758309
257,2020/11/1,0.274853236,0.315598726,0.269963029,0.336783563,0.276483852,0.286672017,0.321043518,0.283735144,0.232958799,0.262171236
258,2020/11/2,0.27382601,0.3145547,0.2694698,0.330497344,0.273889155,0.283639345,0.316830156,0.282709884,0.22130354,0.262404198
